off-shared-half-p0 n24:mean=0.49996,tail=0.49996,final=0.49992,temporalRMS=0.83761
off-shared-half-p977 n24:mean=0.50000,tail=0.50000,final=0.50008,temporalRMS=0.83761
off-counter-half-p0 n24:mean=0.25041,tail=0.25041,final=0.24801,temporalRMS=0.58770
off-counter-half-p977 n24:mean=0.25142,tail=0.25142,final=0.24928,temporalRMS=0.58774
off-reversed-p0 n24:mean=0.25041,tail=0.25041,final=0.24801,temporalRMS=0.58770
off-merged-p0 n24:mean=0.25041,tail=0.25041,final=0.24801,temporalRMS=0.58770
off-merged-reversed-p0 n24:mean=0.25041,tail=0.25041,final=0.24801,temporalRMS=0.58770
off-shared-id-p0 n24:mean=0.50000,tail=0.50000,final=0.50534,temporalRMS=0.67850
off-single-p0 n24:mean=0.50000,tail=0.50000,final=0.50534,temporalRMS=0.67850
off-empty-p0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
off-zero-pair-p0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
off-opaque-pair-p0 n24:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000
off-front-body-p0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
off-blend-half-p0 n24:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000
taau-shared-half-p0 n24:mean=0.49341,tail=0.49341,final=0.48930,temporalRMS=0.02697
taau-shared-half-p977 n24:mean=0.49429,tail=0.49429,final=0.48984,temporalRMS=0.02697
taau-counter-half-p0 n24:mean=0.12517,tail=0.12517,final=0.07095,temporalRMS=0.06036
taau-counter-half-p977 n24:mean=0.12993,tail=0.12993,final=0.07863,temporalRMS=0.06132
taau-reversed-p0 n24:mean=0.12517,tail=0.12517,final=0.07095,temporalRMS=0.06036
taau-merged-p0 n24:mean=0.12517,tail=0.12517,final=0.07095,temporalRMS=0.06036
taau-merged-reversed-p0 n24:mean=0.12517,tail=0.12517,final=0.07095,temporalRMS=0.06036
taau-shared-id-p0 n24:mean=0.49385,tail=0.49385,final=0.49035,temporalRMS=0.05909
taau-single-p0 n24:mean=0.49385,tail=0.49385,final=0.49035,temporalRMS=0.05909
taau-empty-p0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
taau-zero-pair-p0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
taau-opaque-pair-p0 n24:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000
taau-front-body-p0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
taau-blend-half-p0 n24:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000
