off-empty: temporal mean 1.000000, final 1.000000, pixels 12544
off-zero: temporal mean 1.000000, final 1.000000, pixels 12544
off-quarter: temporal mean 0.749994, final 0.750080, pixels 12544
off-half: temporal mean 0.499992, final 0.500000, pixels 12544
off-three-quarter: temporal mean 0.250004, final 0.250319, pixels 12544
off-opaque: temporal mean 0.000000, final 0.000000, pixels 12544
off-quarter-pair: temporal mean 0.749994, final 0.750080, pixels 12544
off-half-pair: temporal mean 0.499992, final 0.500000, pixels 12544
off-three-quarter-pair: temporal mean 0.250004, final 0.250319, pixels 12544
off-mixed-pair: temporal mean 0.250004, final 0.250319, pixels 12544
off-half-reversed: temporal mean 0.499992, final 0.500000, pixels 12544
off-half-merged: temporal mean 0.499992, final 0.500000, pixels 12544
off-half-merged-reversed: temporal mean 0.499992, final 0.500000, pixels 12544
off-half-phase-one: temporal mean 0.118025, final 0.117905, pixels 12544
off-half-phase-977: temporal mean 0.319203, final 0.319196, pixels 12544
off-front-body: temporal mean 1.000000, final 1.000000, pixels 12544
off-blend-half: temporal mean 0.501961, final 0.501961, pixels 12544
off-blend-half-pair: temporal mean 0.250980, final 0.250980, pixels 12544
off-blend-mixed-pair: temporal mean 0.188235, final 0.188235, pixels 12544
taau-empty: temporal mean 1.000000, final 1.000000, pixels 12544
taau-zero: temporal mean 1.000000, final 1.000000, pixels 12544
taau-quarter: temporal mean 0.736010, final 0.731884, pixels 12544
taau-half: temporal mean 0.485466, final 0.481629, pixels 12544
taau-three-quarter: temporal mean 0.234139, final 0.229782, pixels 12544
taau-opaque: temporal mean 0.000000, final 0.000000, pixels 12544
taau-quarter-pair: temporal mean 0.736010, final 0.731884, pixels 12544
taau-half-pair: temporal mean 0.485466, final 0.481629, pixels 12544
taau-three-quarter-pair: temporal mean 0.234139, final 0.229782, pixels 12544
taau-mixed-pair: temporal mean 0.234265, final 0.230143, pixels 12544
taau-half-reversed: temporal mean 0.485466, final 0.481629, pixels 12544
taau-half-merged: temporal mean 0.485466, final 0.481629, pixels 12544
taau-half-merged-reversed: temporal mean 0.485466, final 0.481629, pixels 12544
taau-half-phase-one: temporal mean 0.035470, final 0.028154, pixels 12544
taau-half-phase-977: temporal mean 0.303533, final 0.298912, pixels 12544
taau-front-body: temporal mean 1.000000, final 1.000000, pixels 12544
taau-blend-half: temporal mean 0.501944, final 0.501961, pixels 12544
taau-blend-half-pair: temporal mean 0.250980, final 0.250980, pixels 12544
taau-blend-mixed-pair: temporal mean 0.188235, final 0.188235, pixels 12544
