identity-taau-shared-half-p0 maxNonfinite=0 maxLock=0 n24:mean=0.49341,tail=0.49341,final=0.48930,temporalRMS=0.02697 | n128:mean=0.48547,tail=0.48229,final=0.48163,temporalRMS=0.00797 | n512:mean=0.48234,tail=0.48127,final=0.48125,temporalRMS=0.00799
identity-taau-shared-half-p977 maxNonfinite=0 maxLock=0 n24:mean=0.49429,tail=0.49429,final=0.48984,temporalRMS=0.02697 | n128:mean=0.48576,tail=0.48235,final=0.48170,temporalRMS=0.00796 | n512:mean=0.48242,tail=0.48127,final=0.48128,temporalRMS=0.00799
identity-taau-swapped-distinct-half-p0 maxNonfinite=0 maxLock=0 n24:mean=0.20223,tail=0.20223,final=0.16077,temporalRMS=0.05350 | n128:mean=0.14029,tail=0.12027,final=0.11821,temporalRMS=0.02689 | n512:mean=0.12400,tail=0.11875,final=0.11948,temporalRMS=0.02671
identity-taau-swapped-distinct-half-p977 maxNonfinite=0 maxLock=0 n24:mean=0.20438,tail=0.20438,final=0.16174,temporalRMS=0.05389 | n128:mean=0.14085,tail=0.12047,final=0.11862,temporalRMS=0.02691 | n512:mean=0.12425,tail=0.11896,final=0.11955,temporalRMS=0.02669
identity-taau-opaque-pair-p0 maxNonfinite=0 maxLock=0 n24:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000 | n128:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000 | n512:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000
identity-taau-empty-p0 maxNonfinite=0 maxLock=0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000 | n128:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000 | n512:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
identity-taau-blend-half-p0 maxNonfinite=0 maxLock=0 n24:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000 | n128:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000 | n512:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000
attachment-only-taau-shared-half-p0 maxNonfinite=0 maxLock=0 n24:mean=0.49341,tail=0.49341,final=0.48930,temporalRMS=0.02697 | n128:mean=0.48547,tail=0.48229,final=0.48163,temporalRMS=0.00797 | n512:mean=0.48234,tail=0.48127,final=0.48125,temporalRMS=0.00799
attachment-only-taau-shared-half-p977 maxNonfinite=0 maxLock=0 n24:mean=0.49429,tail=0.49429,final=0.48984,temporalRMS=0.02697 | n128:mean=0.48576,tail=0.48235,final=0.48170,temporalRMS=0.00796 | n512:mean=0.48242,tail=0.48127,final=0.48128,temporalRMS=0.00799
attachment-only-taau-swapped-distinct-half-p0 maxNonfinite=0 maxLock=0 n24:mean=0.20223,tail=0.20223,final=0.16077,temporalRMS=0.05350 | n128:mean=0.14029,tail=0.12027,final=0.11821,temporalRMS=0.02689 | n512:mean=0.12400,tail=0.11875,final=0.11948,temporalRMS=0.02671
attachment-only-taau-swapped-distinct-half-p977 maxNonfinite=0 maxLock=0 n24:mean=0.20438,tail=0.20438,final=0.16174,temporalRMS=0.05389 | n128:mean=0.14085,tail=0.12047,final=0.11862,temporalRMS=0.02691 | n512:mean=0.12425,tail=0.11896,final=0.11955,temporalRMS=0.02669
attachment-only-taau-opaque-pair-p0 maxNonfinite=0 maxLock=0 n24:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000 | n128:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000 | n512:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000
attachment-only-taau-empty-p0 maxNonfinite=0 maxLock=0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000 | n128:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000 | n512:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
attachment-only-taau-blend-half-p0 maxNonfinite=0 maxLock=0 n24:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000 | n128:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000 | n512:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000
copy-lock-taau-shared-half-p0 maxNonfinite=0 maxLock=1 n24:mean=0.49341,tail=0.49341,final=0.48930,temporalRMS=0.02698 | n128:mean=0.48547,tail=0.48229,final=0.48163,temporalRMS=0.00797 | n512:mean=0.48234,tail=0.48127,final=0.48125,temporalRMS=0.00799
copy-lock-taau-shared-half-p977 maxNonfinite=0 maxLock=1 n24:mean=0.49429,tail=0.49429,final=0.48984,temporalRMS=0.02697 | n128:mean=0.48576,tail=0.48235,final=0.48170,temporalRMS=0.00796 | n512:mean=0.48241,tail=0.48127,final=0.48128,temporalRMS=0.00799
copy-lock-taau-swapped-distinct-half-p0 maxNonfinite=0 maxLock=1 n24:mean=0.21806,tail=0.21806,final=0.19027,temporalRMS=0.04275 | n128:mean=0.17132,tail=0.15457,final=0.15193,temporalRMS=0.01997 | n512:mean=0.15669,tail=0.15190,final=0.15238,temporalRMS=0.01976
copy-lock-taau-swapped-distinct-half-p977 maxNonfinite=0 maxLock=1 n24:mean=0.22019,tail=0.22019,final=0.19152,temporalRMS=0.04293 | n128:mean=0.17190,tail=0.15468,final=0.15214,temporalRMS=0.02000 | n512:mean=0.15687,tail=0.15203,final=0.15237,temporalRMS=0.01974
copy-lock-taau-opaque-pair-p0 maxNonfinite=0 maxLock=1 n24:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000 | n128:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000 | n512:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000
copy-lock-taau-empty-p0 maxNonfinite=0 maxLock=0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000 | n128:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000 | n512:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
