identity-taau-shared-half-p0 n24:mean=0.49341,tail=0.49341,final=0.48930,temporalRMS=0.02697 | n128:mean=0.48547,tail=0.48229,final=0.48163,temporalRMS=0.00797 | n512:mean=0.48234,tail=0.48127,final=0.48125,temporalRMS=0.00799
identity-taau-counter-half-p0 n24:mean=0.12517,tail=0.12517,final=0.07095,temporalRMS=0.06036 | n128:mean=0.07298,tail=0.06021,final=0.06093,temporalRMS=0.02592 | n512:mean=0.06330,tail=0.06038,final=0.05812,temporalRMS=0.02646
identity-taau-counter-half-p977 n24:mean=0.12993,tail=0.12993,final=0.07863,temporalRMS=0.06132 | n128:mean=0.07409,tail=0.05915,final=0.05879,temporalRMS=0.02570 | n512:mean=0.06364,tail=0.06004,final=0.06234,temporalRMS=0.02589
identity-taau-counter-quarter-p0 n24:mean=0.57429,tail=0.57429,final=0.58496,temporalRMS=0.06266 | n128:mean=0.58612,tail=0.58869,final=0.58891,temporalRMS=0.04546 | n512:mean=0.59135,tail=0.59394,final=0.59210,temporalRMS=0.04672
identity-taau-empty-p0 n24:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000 | n128:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000 | n512:mean=1.00000,tail=1.00000,final=1.00000,temporalRMS=0.00000
identity-taau-opaque-pair-p0 n24:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000 | n128:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000 | n512:mean=0.00000,tail=0.00000,final=0.00000,temporalRMS=0.00000
identity-taau-blend-half-p0 n24:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000 | n128:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000 | n512:mean=0.25098,tail=0.25098,final=0.25098,temporalRMS=0.00000
identity-taau-blend-quarter-p0 n24:mean=0.56078,tail=0.56078,final=0.56078,temporalRMS=0.00000 | n128:mean=0.56078,tail=0.56078,final=0.56078,temporalRMS=0.00000 | n512:mean=0.56078,tail=0.56078,final=0.56078,temporalRMS=0.00000
current-taau-shared-half-p0 n24:mean=0.49341,tail=0.49341,final=0.48930,temporalRMS=0.02697 | n128:mean=0.48547,tail=0.48229,final=0.48163,temporalRMS=0.00797 | n512:mean=0.48234,tail=0.48127,final=0.48125,temporalRMS=0.00799
current-taau-counter-half-p0 n24:mean=0.12517,tail=0.12517,final=0.07095,temporalRMS=0.06036 | n128:mean=0.07298,tail=0.06021,final=0.06093,temporalRMS=0.02592 | n512:mean=0.06330,tail=0.06038,final=0.05812,temporalRMS=0.02646
current-taau-counter-half-p977 n24:mean=0.12993,tail=0.12993,final=0.07863,temporalRMS=0.06132 | n128:mean=0.07409,tail=0.05915,final=0.05879,temporalRMS=0.02570 | n512:mean=0.06364,tail=0.06004,final=0.06234,temporalRMS=0.02589
current-taau-counter-quarter-p0 n24:mean=0.57429,tail=0.57429,final=0.58496,temporalRMS=0.06266 | n128:mean=0.58612,tail=0.58869,final=0.58891,temporalRMS=0.04546 | n512:mean=0.59135,tail=0.59394,final=0.59210,temporalRMS=0.04672
